Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR
25.0668202948661,39.4606750853129,12.8079064838691,0.567757028000168
25.0668484088381,39.4483661706937,12.8108970799242,0.567791062457032
25.0668765228102,39.4360641722039,12.8138865092276,0.567812942439535
25.0669046367822,39.4237688139609,12.8168747713089,0.567823936727229
25.0669405838139,39.4080570436058,12.8206939171469,0.567823861669384
25.0669765308455,39.3923552625288,12.8245111560311,0.567809963709708
25.0670124778772,39.3766630267656,12.8283264890794,0.56778429072853
25.0670689276848,39.352038984509,12.8343140947461,0.567724100207273
25.0671253774924,39.327436453649,12.8402970076105,0.567644338290932
25.0671818273,39.3028545390477,12.8462752316935,0.567549235265292
25.0672382771076,39.2782925632075,12.8522487708539,0.567442026247863
25.0672947269152,39.2537500021797,12.858217628834,0.567325232844109
25.0673511767228,39.2292264441128,12.8641818092919,0.567200847163908
25.0674076265304,39.2047215629075,12.8701413158223,0.56707045062446
25.067464076338,39.1802350998607,12.8760961519701,0.566935298158091
25.0675205261456,39.1557668495621,12.8820463212404,0.566796383804343
25.067609362856,39.1172969572575,12.8914008334749,0.566571959053598
25.0676981995665,39.0788712898487,12.9007438096232,0.566342423648239
25.067787036277,39.0404894979408,12.9100752629932,0.566109390704374
25.0679229761019,38.9818412532259,12.9243321746782,0.565748419710504
25.0680589159267,38.9232945773373,12.9385621829306,0.56538412731333
25.0681948557516,38.8648490710885,12.9527653346256,0.565017810382074
25.0683307955764,38.8065044148636,12.966941676501,0.56465030628576
25.0684667354013,38.7482603367283,12.9810912551796,0.564282176529403
25.0686026752261,38.6901166084374,12.9952141171728,0.563913742328987
25.0688927409651,38.5663852548875,13.0252600929646,0.563127281804704
25.0691828067041,38.4431081353431,13.0551850879192,0.562340680967423
25.069472872443,38.3202835998838,13.0849895498421,0.561553830260922
25.069762938182,38.1979099582059,13.1146739249193,0.560766839295372
25.070053003921,38.0759855006862,13.1442386577041,0.559979963129185
25.0705165073515,37.8820875201086,13.191233663935,0.558722900238457
25.070980010782,37.6893255086083,13.2379261082609,0.557466175539969
25.0714435142125,37.4976927909033,13.2843177783955,0.55620969253409
25.0725115779293,37.060371420706,13.3900839599475,0.553315314288329
25.0735796416461,36.6289307383805,13.4942839711298,0.550422436920828
25.0746477053629,36.2032910840159,13.5969390753767,0.547531464571376
25.0757157690797,35.783373924538,13.6980702398288,0.544642689700488
25.0775460366902,35.076874596735,13.8678876030583,0.539698102114406
25.0793763043007,34.3865709188662,14.0333923806345,0.534761815729586
25.0827296871732,33.1626059259201,14.3257646845906,0.525743531431143
25.0860830700457,31.9895405469883,14.6045858676658,0.516765399273051
25.0894364529182,30.865236676975,14.8704267845294,0.507834866796347
25.0927898357908,29.7876504385227,15.1238331175073,0.498959354071511
25.0961432186633,28.7548256892846,15.365327114015,0.490146205049114
25.0994966015358,27.7648887303724,15.5954090117308,0.481402445211232
25.1028499844083,26.816044265663,15.8145581180828,0.472734776064242
25.1062033672808,25.9065720274429,16.0232337055198,0.464149713244528
25.1095567501533,25.0348237052264,16.2218758332666,0.455653569634913
25.1129101330258,24.1992200123232,16.4109061374998,0.447252311805376
25.1162635158983,23.3982478240918,16.5907285969616,0.4389515247712
25.1196168987708,22.630457397773,16.7617302713723,0.430756507505072
25.1229702816434,21.8944597150117,16.9242820104436,0.422672305917683
25.1263236645159,21.1889239548284,17.0787391333745,0.414703615825064
25.1296770473884,20.5125750662286,17.2254420797791,0.406854712316787
25.1330304302609,19.8641914221275,17.3647170331922,0.399129514846609
25.1382615596523,18.905833019207,17.5678817448351,0.387334262838369
25.1434926890436,18.0084837983961,17.754851384778,0.37586095251141
25.148723818435,17.168194438687,17.9266805925053,0.364719354409893
25.1539549478264,16.3812871702719,18.0843515354838,0.353917567953001
25.1591860772177,15.6443281049691,18.2287813096433,0.343461859452608
25.1644172066091,14.9541013462447,18.3608288663766,0.333356440026152
25.1696483360005,14.3075938798673,18.4812990346207,0.323603741382806
25.1748794653918,13.7019856581204,18.5909451574362,0.314204669143146
25.1801105947832,13.1346394007928,18.6904718204227,0.305158508097151
25.1853417241746,12.6030890261374,18.7805379375591,0.296462989214456
25.1905728535659,12.1050279763319,18.8617598520592,0.288114670083181
25.1958039829573,11.6382985364869,18.9347141848641,0.280109061512072
25.2010351123487,11.2008822410029,18.9999404039672,0.272440461333023
25.2062662417401,10.7908909644023,19.0579431937701,0.265102143212266
25.2114973711314,10.4065585058406,19.1091946834303,0.258086825690893
25.2167285005228,10.0462327331946,19.1541365487661,0.25138664300298
25.2219596299142,9.70836824238716,19.1931819843423,0.244992824333464
25.2271907593055,9.39151939153407,19.2267175454309,0.238896058009041
25.2324218886969,9.09433377724689,19.2551048668631,0.233087151565025
25.2376530180883,8.81554628688167,19.2786822697854,0.227556697438155
25.2428841474796,8.5539735620865,19.2977662662562,0.222294246335332
25.248115276871,8.3085085279238,19.3126529667448,0.217289605108917
