seconds,mg
106700,0.002430556
106710,0.002430556
106720,0.002430556
106730,0.002430556
106740,0.002430556
106750,0.002430556
106760,0.002430556
106770,0.002430556
106780,0.002430556
106790,0.002430556
106800,0.002430556
106810,0.002430556
106820,0.002430556
106830,0.002430556
106840,0.002430556
106850,0.002430556
106860,0.002430556
106870,0.002430556
106880,0.002430556
106890,0.002430556
106900,0.002430556
106910,0.002430556
106920,0.002430556
106930,0.002430556
106940,0.002430556
106950,0.002430556
106960,0.002430556
106970,0.002430556
106980,0.002430556
106990,0.002430556
107000,0.002430556
107010,0.002430556
107020,0.002430556
107030,0.002430556
107040,0.002430556
107050,0.002430556
107060,0.002430556
107070,0.002430556
107080,0.002430556
107090,0.002430556
107100,0.002430556
107110,0.002430556
107120,0.002430556
107130,0.002430556
107140,0.002430556
107150,0.002430556
107160,0.002430556
107170,0.002430556
107180,0.002430556
107190,0.002430556
107200,0.002430556
107210,0.002430556
107220,0.002430556
107230,0.002430556
107240,0.002430556
107250,0.002430556
107260,0.002430556
107270,0.002430556
107280,0.002430556
107290,0.002430556
107300,0.002430556
107310,0.002430556
107320,0.002430556
107330,0.002430556
107340,0.002430556
107350,0.002430556
107360,0.002430556
107370,0.002430556
107380,0.002430556
107390,0.002430556
107400,0.002430556
107410,0.002430556
107420,0.002430556
107430,0.002430556
107440,0.002430556
107450,0.002430556
107460,0.002430556
107470,0.002430556
107480,0.002430556
107490,0.002430556
107500,0.002430556
107510,0.002430556
107520,0.002430556
107530,0.002430556
107540,0.002430556
107550,0.002430556
107560,0.002430556
107570,0.002430556
107580,0.002430556
107590,0.002430556
107600,0.002430556
107610,0.002430556
107620,0.002430556
107630,0.002430556
107640,0.002430556
107650,0.002430556
107660,0.002430556
107670,0.002430556
107680,0.002430556
107690,0.002430556
107700,0.002430556
107710,0.002430556
107720,0.002430556
107730,0.002430556
107740,0.002430556
107750,0.002430556
107760,0.002430556
107770,0.002430556
107780,0.002430556
107790,0.002430556
107800,0.002430556
107810,0.002430556
107820,0.002430556
107830,0.002430556
107840,0.002430556
107850,0.002430556
107860,0.002430556
107870,0.002430556
107880,0.002430556
107890,0.002430556
107900,0.002430556
107910,0.002430556
107920,0.002430556
107930,0.002430556
107940,0.002430556
107950,0.002430556
107960,0.002430556
107970,0.002430556
107980,0.002430556
107990,0.002430556
108000,0.002430556
108010,0.002430556
108020,0.002430556
108030,0.002430556
108040,0.002430556
108050,0.002430556
108060,0.002430556
108070,0.002430556
108080,0.002430556
108090,0.002430556
108100,0.002430556
108110,0.002430556
108120,0.002430556
108130,0.002430556
108140,0.002430556
108150,0.002430556
108160,0.002430556
108170,0.002430556
108180,0.002430556
108190,0.002430556
108200,0.002430556
108210,0.002430556
108220,0.002430556
108230,0.002430556
108240,0.002430556
108250,0.002430556
108260,0.002430556
108270,0.002430556
108280,0.002430556
108290,0.002430556
108300,0.002430556
108310,0.002430556
108320,0.002430556
108330,0.002430556
108340,0.002430556
108350,0.002430556
108360,0.002430556
108370,0.002430556
108380,0.002430556
108390,0.002430556
108400,0.002430556
108410,0.002430556
108420,0.002430556
108430,0.002430556
108440,0.002430556
108450,0.002430556
108460,0.002430556
108470,0.002430556
108480,0.002430556
108490,0.002430556
108500,0.002430556
108510,0.002430556
108520,0.002430556
108530,0.002430556
108540,0.002430556
108550,0.002430556
108560,0.002430556
108570,0.002430556
108580,0.002430556
108590,0.002430556
